state,stage,sex,year,completion
Terengganu,secondary_upper,both,2017,98.0835
Kuala Lumpur,primary,both,2017,90.37
Kuala Lumpur,secondary_lower,both,2017,96.7909
Kuala Lumpur,secondary_upper,both,2017,92.2802
Labuan,primary,both,2017,91.31
Labuan,secondary_lower,both,2017,99.43
Labuan,secondary_upper,both,2017,97.0185
Putrajaya,primary,both,2017,103.56
Putrajaya,secondary_lower,both,2017,107.5758
Putrajaya,secondary_upper,both,2017,97.0238
Johor,primary,both,2018,97.56
Johor,secondary_lower,both,2018,99.6891
Johor,secondary_upper,both,2018,93.7421
Kedah,primary,both,2018,100.34
Kedah,secondary_lower,both,2018,96.3721
Kedah,secondary_upper,both,2018,95.7661
Kelantan,primary,both,2018,99.32
Kelantan,secondary_lower,both,2018,85.9723
Kelantan,secondary_upper,both,2018,88.4185
Melaka,primary,both,2018,98.92
Melaka,secondary_lower,both,2018,99.9172
Melaka,secondary_upper,both,2018,98.245
Negeri Sembilan,primary,both,2018,99.24
Negeri Sembilan,secondary_lower,both,2018,97.1165
Negeri Sembilan,secondary_upper,both,2018,96.7493
Pahang,primary,both,2018,97.13
Pahang,secondary_lower,both,2018,94.9303
Pahang,secondary_upper,both,2018,99.1357
Perak,primary,both,2018,98.09
Perak,secondary_lower,both,2018,95.9696
Perak,secondary_upper,both,2018,97.4355
Perlis,primary,both,2018,99.61
Perlis,secondary_lower,both,2018,96.5534
Perlis,secondary_upper,both,2018,94.6984
Pulau Pinang,primary,both,2018,96.52
Pulau Pinang,secondary_lower,both,2018,95.4679
Pulau Pinang,secondary_upper,both,2018,94.9794
Sabah,primary,both,2018,99.12
Sabah,secondary_lower,both,2018,94.6595
Sabah,secondary_upper,both,2018,95.4015
Sarawak,primary,both,2018,99.23
Sarawak,secondary_lower,both,2018,95.3701
Sarawak,secondary_upper,both,2018,96.2509
Selangor,primary,both,2018,95.56
Selangor,secondary_lower,both,2018,102.0542
Selangor,secondary_upper,both,2018,97.6012
Terengganu,primary,both,2018,99.87
Terengganu,secondary_lower,both,2018,100.4034
Terengganu,secondary_upper,both,2018,98.1639
Kuala Lumpur,primary,both,2018,91.18
Kuala Lumpur,secondary_lower,both,2018,94.0251
Kuala Lumpur,secondary_upper,both,2018,91.9811
Labuan,primary,both,2018,94.54
Labuan,secondary_lower,both,2018,89.127
Labuan,secondary_upper,both,2018,91.4501
Putrajaya,primary,both,2018,101.26
Putrajaya,secondary_lower,both,2018,97.7966
Putrajaya,secondary_upper,both,2018,95.034
Johor,primary,both,2019,97.7
Johor,secondary_lower,both,2019,95.2
Johor,secondary_upper,both,2019,98
Kedah,primary,both,2019,100.2
Kedah,secondary_lower,both,2019,96.1
Kedah,secondary_upper,both,2019,96.6
Kelantan,primary,both,2019,99.9
Kelantan,secondary_lower,both,2019,98
Kelantan,secondary_upper,both,2019,109.2
Melaka,primary,both,2019,98.7
Melaka,secondary_lower,both,2019,98.7
Melaka,secondary_upper,both,2019,97
Negeri Sembilan,primary,both,2019,98.9
Negeri Sembilan,secondary_lower,both,2019,96.9
Negeri Sembilan,secondary_upper,both,2019,96.9
Pahang,primary,both,2019,96.3
Pahang,secondary_lower,both,2019,96.4
Pahang,secondary_upper,both,2019,92.9
Perak,primary,both,2019,98.6
Perak,secondary_lower,both,2019,96.9
Perak,secondary_upper,both,2019,97.9
Perlis,primary,both,2019,99
Perlis,secondary_lower,both,2019,93.1
Perlis,secondary_upper,both,2019,94.6
Pulau Pinang,primary,both,2019,96
Pulau Pinang,secondary_lower,both,2019,97.8
Pulau Pinang,secondary_upper,both,2019,96.9
Sabah,primary,both,2019,100.3
Sabah,secondary_lower,both,2019,94.4
Sabah,secondary_upper,both,2019,95.3
Sarawak,primary,both,2019,99.9
Sarawak,secondary_lower,both,2019,95.3
Sarawak,secondary_upper,both,2019,96
Selangor,primary,both,2019,96.1
Selangor,secondary_lower,both,2019,97.6
Selangor,secondary_upper,both,2019,95.8
Terengganu,primary,both,2019,100.7
Terengganu,secondary_lower,both,2019,101.7
Terengganu,secondary_upper,both,2019,99.9
Kuala Lumpur,primary,both,2019,91.6
Kuala Lumpur,secondary_lower,both,2019,97.6
Kuala Lumpur,secondary_upper,both,2019,99.4
Labuan,primary,both,2019,89.8
Labuan,secondary_lower,both,2019,94.1
Labuan,secondary_upper,both,2019,99.9
Putrajaya,primary,both,2019,99.5
Putrajaya,secondary_lower,both,2019,103.3
Putrajaya,secondary_upper,both,2019,103.6
Johor,primary,both,2020,98.2
Johor,secondary_lower,both,2020,96.9
Johor,secondary_upper,both,2020,89.2
Kedah,primary,both,2020,100.1
Kedah,secondary_lower,both,2020,96.8
Kedah,secondary_upper,both,2020,96.7
Kelantan,primary,both,2020,99.5
Kelantan,secondary_lower,both,2020,109.9
Kelantan,secondary_upper,both,2020,97.7
Melaka,primary,both,2020,98.5
Melaka,secondary_lower,both,2020,97.8
Melaka,secondary_upper,both,2020,94.1
Negeri Sembilan,primary,both,2020,100.1
Negeri Sembilan,secondary_lower,both,2020,98.2
Negeri Sembilan,secondary_upper,both,2020,93.3
Pahang,primary,both,2020,97
Pahang,secondary_lower,both,2020,96
Pahang,secondary_upper,both,2020,97.5
Perak,primary,both,2020,99.1
Perak,secondary_lower,both,2020,97.1
Perak,secondary_upper,both,2020,92.4
Perlis,primary,both,2020,98.8
Perlis,secondary_lower,both,2020,94.4
Perlis,secondary_upper,both,2020,93.3
Pulau Pinang,primary,both,2020,96.9
Pulau Pinang,secondary_lower,both,2020,97.9
Pulau Pinang,secondary_upper,both,2020,92
Sabah,primary,both,2020,100.3
Sabah,secondary_lower,both,2020,95.7
Sabah,secondary_upper,both,2020,94.2
Sarawak,primary,both,2020,99.9
Sarawak,secondary_lower,both,2020,96
Sarawak,secondary_upper,both,2020,91.8
Selangor,primary,both,2020,97.3
Selangor,secondary_lower,both,2020,97.1
Selangor,secondary_upper,both,2020,93
Terengganu,primary,both,2020,100.4
Terengganu,secondary_lower,both,2020,99.5
Terengganu,secondary_upper,both,2020,96.1
Kuala Lumpur,primary,both,2020,92.4
Kuala Lumpur,secondary_lower,both,2020,96.5
Kuala Lumpur,secondary_upper,both,2020,80.8
Labuan,primary,both,2020,94.1
Labuan,secondary_lower,both,2020,103.9
Labuan,secondary_upper,both,2020,95.8
Putrajaya,primary,both,2020,101.4
Putrajaya,secondary_lower,both,2020,105.7
Putrajaya,secondary_upper,both,2020,93.5
Johor,primary,both,2021,95.5
Johor,secondary_lower,both,2021,97.9
Johor,secondary_upper,both,2021,97
Kedah,primary,both,2021,97.2
Kedah,secondary_lower,both,2021,100.3
Kedah,secondary_upper,both,2021,100.5
Kelantan,primary,both,2021,100.2
Kelantan,secondary_lower,both,2021,111.7
Kelantan,secondary_upper,both,2021,100.3
Melaka,primary,both,2021,95.1
Melaka,secondary_lower,both,2021,98.1
Melaka,secondary_upper,both,2021,98.2
Negeri Sembilan,primary,both,2021,102.9
Negeri Sembilan,secondary_lower,both,2021,98.9
Negeri Sembilan,secondary_upper,both,2021,98.6
Pahang,primary,both,2021,97.3
Pahang,secondary_lower,both,2021,99.1
Pahang,secondary_upper,both,2021,99.6
Perak,primary,both,2021,98.8
Perak,secondary_lower,both,2021,99.4
Perak,secondary_upper,both,2021,98.8
Perlis,primary,both,2021,96.9
Perlis,secondary_lower,both,2021,97.8
Perlis,secondary_upper,both,2021,97.4
Pulau Pinang,primary,both,2021,94
Pulau Pinang,secondary_lower,both,2021,97.1
Pulau Pinang,secondary_upper,both,2021,95.5
Sabah,primary,both,2021,97.7
Sabah,secondary_lower,both,2021,97.9
Sabah,secondary_upper,both,2021,98.7
Sarawak,primary,both,2021,100.1
Sarawak,secondary_lower,both,2021,97.5
Sarawak,secondary_upper,both,2021,97.5
Selangor,primary,both,2021,104.5
Selangor,secondary_lower,both,2021,101.8
Selangor,secondary_upper,both,2021,95.6
Terengganu,primary,both,2021,103.7
Terengganu,secondary_lower,both,2021,99
Terengganu,secondary_upper,both,2021,100.5
Kuala Lumpur,primary,both,2021,94.5
Kuala Lumpur,secondary_lower,both,2021,98
Kuala Lumpur,secondary_upper,both,2021,94.7
Labuan,primary,both,2021,91.4
Labuan,secondary_lower,both,2021,98
Labuan,secondary_upper,both,2021,96
Putrajaya,primary,both,2021,76.8
Putrajaya,secondary_lower,both,2021,97.5
Putrajaya,secondary_upper,both,2021,93.7
Johor,primary,both,2022,99
Johor,secondary_lower,both,2022,100.1
Johor,secondary_upper,both,2022,98.1
Kedah,primary,both,2022,101.1
Kedah,secondary_lower,both,2022,99.4
Kedah,secondary_upper,both,2022,99.2
Kelantan,primary,both,2022,98.2
Kelantan,secondary_lower,both,2022,99
Kelantan,secondary_upper,both,2022,99.4
Melaka,primary,both,2022,99.5
Melaka,secondary_lower,both,2022,98.9
Melaka,secondary_upper,both,2022,97.7
Negeri Sembilan,primary,both,2022,101.6
Negeri Sembilan,secondary_lower,both,2022,99.9
Negeri Sembilan,secondary_upper,both,2022,100.4
Pahang,primary,both,2022,96.5
Pahang,secondary_lower,both,2022,98.7
Pahang,secondary_upper,both,2022,100
Perak,primary,both,2022,99.9
Perak,secondary_lower,both,2022,99.2
Perak,secondary_upper,both,2022,100.3
Perlis,primary,both,2022,105.5
Perlis,secondary_lower,both,2022,99.7
Perlis,secondary_upper,both,2022,97.9
Pulau Pinang,primary,both,2022,97.7
Pulau Pinang,secondary_lower,both,2022,98.9
Pulau Pinang,secondary_upper,both,2022,100.5
Sabah,primary,both,2022,100.6
Sabah,secondary_lower,both,2022,99.6
Sabah,secondary_upper,both,2022,99.6
Sarawak,primary,both,2022,100.7
Sarawak,secondary_lower,both,2022,99
Sarawak,secondary_upper,both,2022,98.9
Selangor,primary,both,2022,98.6
Selangor,secondary_lower,both,2022,98.1
Selangor,secondary_upper,both,2022,99.3
Terengganu,primary,both,2022,103.8
Terengganu,secondary_lower,both,2022,99.7
Terengganu,secondary_upper,both,2022,99
Kuala Lumpur,primary,both,2022,93.8
Kuala Lumpur,secondary_lower,both,2022,96.4
Kuala Lumpur,secondary_upper,both,2022,97.5
Labuan,primary,both,2022,92.4
Labuan,secondary_lower,both,2022,102.8
Labuan,secondary_upper,both,2022,99.3
Putrajaya,primary,both,2022,102.9
Putrajaya,secondary_lower,both,2022,103.2
Putrajaya,secondary_upper,both,2022,101.7
